,Vehicle_Class,Vehicle_Category,Month,month_sin,month_cos,State_EV_Group,Days_Since_Start,Log_EV_Sales_Quantity
344,70,4,-1.561734799,0.696604762,1.20443877,2,-1.748040658,0.0
345,26,4,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
346,39,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
347,40,2,-1.561734799,0.696604762,1.20443877,1,-1.748040658,0.0
348,0,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
349,1,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
350,2,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
351,5,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
352,9,3,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
353,10,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
354,12,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
355,13,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
356,15,4,-1.561734799,0.696604762,1.20443877,0,-1.748040658,0.0
